Position;longueur verin 1 en mm;longueur verin 2 en mm;longueur verin 3 en mm;longueur verin 4 en mm;longueur verin 5 en mm;longueur verin 6 en mm
390;357.422;447.254;446.537;356.757;415.546;415.499
391;357.237;447.285;446.565;356.57;415.496;415.449
392;357.052;447.315;446.594;356.384;415.446;415.398
393;356.867;447.344;446.621;356.197;415.395;415.347
394;356.681;447.374;446.649;356.01;415.344;415.296
395;356.496;447.403;446.677;355.823;415.293;415.245
396;356.31;447.433;446.704;355.636;415.241;415.193
397;356.124;447.462;446.731;355.449;415.19;415.142
398;355.938;447.49;446.758;355.261;415.138;415.09
399;355.752;447.519;446.785;355.074;415.086;415.038
400;355.566;447.547;446.811;354.886;415.034;414.986
