Position;longueur verin 1 en mm;longueur verin 2 en mm;longueur verin 3 en mm;longueur verin 4 en mm;longueur verin 5 en mm;longueur verin 6 en mm
56;412.16;425.845;425.747;412.053;421.27;421.263
57;412.016;425.944;425.844;411.907;421.287;421.28
58;411.871;426.043;425.941;411.76;421.304;421.296
59;411.726;426.142;426.038;411.614;421.32;421.313
60;411.581;426.24;426.135;411.467;421.336;421.329
61;411.436;426.339;426.232;411.32;421.352;421.345
62;411.291;426.437;426.328;411.173;421.368;421.36
63;411.146;426.535;426.424;411.025;421.384;421.376
64;411;426.633;426.52;410.878;421.399;421.391
65;410.854;426.73;426.616;410.73;421.414;421.406
66;410.708;426.828;426.712;410.582;421.429;421.421
67;410.562;426.925;426.807;410.435;421.444;421.435
68;410.416;427.022;426.903;410.287;421.459;421.45
69;410.27;427.119;426.998;410.138;421.473;421.464
70;410.123;427.216;427.093;409.99;421.487;421.478
71;409.977;427.312;427.187;409.841;421.501;421.492
72;409.83;427.409;427.282;409.693;421.515;421.506
73;409.683;427.505;427.376;409.544;421.528;421.519
74;409.536;427.601;427.47;409.395;421.542;421.532
75;409.388;427.697;427.564;409.246;421.555;421.545
76;409.241;427.792;427.658;409.097;421.568;421.558
77;409.093;427.888;427.752;408.947;421.581;421.571
78;408.946;427.983;427.845;408.798;421.593;421.583
79;408.798;428.078;427.938;408.648;421.605;421.595
80;408.65;428.173;428.031;408.498;421.617;421.607
81;408.502;428.267;428.124;408.348;421.629;421.619
82;408.353;428.362;428.217;408.198;421.641;421.63
83;408.205;428.456;428.309;408.047;421.652;421.642
84;408.056;428.55;428.402;407.897;421.664;421.653
85;407.907;428.644;428.494;407.746;421.675;421.664
86;407.758;428.738;428.586;407.595;421.686;421.674
87;407.609;428.831;428.677;407.444;421.696;421.685
88;407.46;428.924;428.769;407.293;421.707;421.695
89;407.311;429.018;428.86;407.142;421.717;421.705
90;407.161;429.11;428.951;406.991;421.727;421.715
91;407.011;429.203;429.042;406.839;421.737;421.725
92;406.862;429.296;429.133;406.688;421.746;421.734
93;406.712;429.388;429.224;406.536;421.756;421.744
94;406.561;429.48;429.314;406.384;421.765;421.753
95;406.411;429.572;429.404;406.232;421.774;421.762
96;406.261;429.664;429.494;406.079;421.783;421.77
97;406.11;429.756;429.584;405.927;421.791;421.779
98;405.959;429.847;429.674;405.774;421.8;421.787
99;405.808;429.938;429.763;405.622;421.808;421.795
100;405.657;430.029;429.852;405.469;421.816;421.803
101;405.506;430.12;429.941;405.316;421.824;421.81
102;405.355;430.211;430.03;405.163;421.831;421.818
103;405.203;430.301;430.119;405.009;421.839;421.825
104;405.052;430.392;430.207;404.856;421.846;421.832
105;404.9;430.482;430.295;404.702;421.853;421.839
106;404.748;430.571;430.383;404.549;421.859;421.845
107;404.596;430.661;430.471;404.395;421.866;421.852
108;404.444;430.751;430.559;404.241;421.872;421.858
109;404.291;430.84;430.647;404.086;421.878;421.864
110;404.139;430.929;430.734;403.932;421.884;421.87
111;403.986;431.018;430.821;403.778;421.89;421.875
112;403.833;431.107;430.908;403.623;421.895;421.881
113;403.68;431.195;430.995;403.468;421.901;421.886
114;403.527;431.284;431.081;403.313;421.906;421.891
115;403.374;431.372;431.167;403.158;421.91;421.895
116;403.221;431.46;431.253;403.003;421.915;421.9
117;403.067;431.547;431.339;402.848;421.92;421.904
118;402.913;431.635;431.425;402.692;421.924;421.908
119;402.76;431.722;431.511;402.536;421.928;421.912
120;402.606;431.81;431.596;402.381;421.932;421.916
121;402.451;431.896;431.681;402.225;421.935;421.919
122;402.297;431.983;431.766;402.069;421.939;421.923
123;402.143;432.07;431.851;401.912;421.942;421.926
124;401.988;432.156;431.936;401.756;421.945;421.929
125;401.833;432.242;432.02;401.6;421.948;421.931
126;401.679;432.328;432.104;401.443;421.95;421.934
127;401.524;432.414;432.188;401.286;421.953;421.936
128;401.368;432.5;432.272;401.129;421.955;421.938
129;401.213;432.585;432.356;400.972;421.957;421.94
130;401.058;432.671;432.439;400.815;421.959;421.942
131;400.902;432.756;432.522;400.658;421.96;421.943
132;400.746;432.84;432.605;400.5;421.961;421.944
133;400.59;432.925;432.688;400.342;421.963;421.945
134;400.434;433.01;432.771;400.185;421.964;421.946
135;400.278;433.094;432.853;400.027;421.964;421.947
136;400.122;433.178;432.935;399.869;421.965;421.947
137;399.966;433.262;433.017;399.71;421.965;421.947
138;399.809;433.345;433.099;399.552;421.965;421.947
139;399.652;433.429;433.181;399.393;421.965;421.947
140;399.495;433.512;433.262;399.235;421.965;421.946
141;399.338;433.595;433.343;399.076;421.964;421.946
142;399.181;433.678;433.424;398.917;421.963;421.945
143;399.024;433.761;433.505;398.758;421.963;421.944
