a1(rad)
Temps(s)   a1(rad)     
3.767120 150.695900
3.771040 150.852711
3.774960 151.009523
3.778880 151.166334
3.782800 151.323146
3.786720 151.479957
3.790640 151.636769
3.794560 151.793581
3.798480 151.950392
3.802400 152.107204
3.806320 152.264015
3.810240 152.420827
3.814160 152.577638
3.818080 152.734450
3.822000 152.891261
3.825920 153.048073
3.829840 153.204884
3.833760 153.361696
3.837680 153.518508
3.841600 153.675319
3.845520 153.832131
3.849440 153.988942
3.853360 154.145754
3.857280 154.302565
3.861200 154.459377
3.865120 154.616188
3.869040 154.773000
3.872960 154.929812
3.876880 155.086623
3.880800 155.243435
3.884720 155.400246
3.888640 155.557058
3.892560 155.713869
3.896480 155.870681
3.900400 156.027492
3.904320 156.184304
3.908240 156.341115
3.912160 156.497927
3.916080 156.654739
3.920000 156.811550

Valeur mini ordonnée    = 0.000000
Valeur maxi ordonnée    = 156.811550